Identifiant arc;Libelle;Date et heure de comptage;Débit horaire;Taux d'occupation;Etat trafic;Identifiant noeud amont;Libelle noeud amont;Identifiant noeud aval;Libelle noeud aval;Etat arc;Date debut dispo data;Date fin dispo data;geo_point_2d;geo_shape
5671;Convention;2022-03-19T23:00:00+01:00;368.0;1.91556;Fluide;2937;Lecourbe-Convention;2973;Convention-Blomet;Invalide;2005-01-01;2019-06-01;48.838634372743535,2.2932056027175345;"{""coordinates"": [[2.2918783063, 48.8392381071], [2.2945328992, 48.8380306383]], ""type"": ""LineString""}"
5671;Convention;2022-12-06T13:00:00+01:00;;7.64445;Fluide;2937;Lecourbe-Convention;2973;Convention-Blomet;Invalide;2005-01-01;2019-06-01;48.838634372743535,2.293205602717535;"{""coordinates"": [[2.2918783062727064, 48.83923810714603], [2.294532899162364, 48.83803063834104]], ""type"": ""LineString""}"
5671;Convention;2022-12-06T09:00:00+01:00;;6.8;Fluide;2937;Lecourbe-Convention;2973;Convention-Blomet;Invalide;2005-01-01;2019-06-01;48.838634372743535,2.293205602717535;"{""coordinates"": [[2.2918783062727064, 48.83923810714603], [2.294532899162364, 48.83803063834104]], ""type"": ""LineString""}"
5671;Convention;2022-12-06T07:00:00+01:00;;2.08889;Fluide;2937;Lecourbe-Convention;2973;Convention-Blomet;Invalide;2005-01-01;2019-06-01;48.838634372743535,2.293205602717535;"{""coordinates"": [[2.2918783062727064, 48.83923810714603], [2.294532899162364, 48.83803063834104]], ""type"": ""LineString""}"
5671;Convention;2022-12-06T04:00:00+01:00;;0.34667;Fluide;2937;Lecourbe-Convention;2973;Convention-Blomet;Invalide;2005-01-01;2019-06-01;48.838634372743535,2.293205602717535;"{""coordinates"": [[2.2918783062727064, 48.83923810714603], [2.294532899162364, 48.83803063834104]], ""type"": ""LineString""}"
5671;Convention;2022-12-06T01:00:00+01:00;;1.35389;Fluide;2937;Lecourbe-Convention;2973;Convention-Blomet;Invalide;2005-01-01;2019-06-01;48.838634372743535,2.293205602717535;"{""coordinates"": [[2.2918783062727064, 48.83923810714603], [2.294532899162364, 48.83803063834104]], ""type"": ""LineString""}"
5671;Convention;2022-04-09T22:00:00+02:00;451.0;2.42834;Fluide;2937;Lecourbe-Convention;2973;Convention-Blomet;Invalide;2005-01-01;2019-06-01;48.838634372743535,2.2932056027175345;"{""coordinates"": [[2.2918783063, 48.8392381071], [2.2945328992, 48.8380306383]], ""type"": ""LineString""}"
5671;Convention;2022-05-06T01:00:00+02:00;326.0;1.6;Fluide;2937;Lecourbe-Convention;2973;Convention-Blomet;Invalide;2005-01-01;2019-06-01;48.838634372743535,2.2932056027175345;"{""coordinates"": [[2.2918783063, 48.8392381071], [2.2945328992, 48.8380306383]], ""type"": ""LineString""}"
5671;Convention;2022-03-24T17:00:00+01:00;909.0;7.30833;Fluide;2937;Lecourbe-Convention;2973;Convention-Blomet;Invalide;2005-01-01;2019-06-01;48.838634372743535,2.2932056027175345;"{""coordinates"": [[2.2918783063, 48.8392381071], [2.2945328992, 48.8380306383]], ""type"": ""LineString""}"
5671;Convention;2022-05-04T23:00:00+02:00;390.0;2.08111;Fluide;2937;Lecourbe-Convention;2973;Convention-Blomet;Invalide;2005-01-01;2019-06-01;48.838634372743535,2.2932056027175345;"{""coordinates"": [[2.2918783063, 48.8392381071], [2.2945328992, 48.8380306383]], ""type"": ""LineString""}"
5671;Convention;2022-04-09T23:00:00+02:00;459.0;2.75889;Fluide;2937;Lecourbe-Convention;2973;Convention-Blomet;Invalide;2005-01-01;2019-06-01;48.838634372743535,2.2932056027175345;"{""coordinates"": [[2.2918783063, 48.8392381071], [2.2945328992, 48.8380306383]], ""type"": ""LineString""}"
5671;Convention;2022-04-10T00:00:00+02:00;397.0;2.24389;Fluide;2937;Lecourbe-Convention;2973;Convention-Blomet;Invalide;2005-01-01;2019-06-01;48.838634372743535,2.2932056027175345;"{""coordinates"": [[2.2918783063, 48.8392381071], [2.2945328992, 48.8380306383]], ""type"": ""LineString""}"
5671;Convention;2022-03-18T20:00:00+01:00;967.0;14.23945;Fluide;2937;Lecourbe-Convention;2973;Convention-Blomet;Invalide;2005-01-01;2019-06-01;48.838634372743535,2.2932056027175345;"{""coordinates"": [[2.2918783063, 48.8392381071], [2.2945328992, 48.8380306383]], ""type"": ""LineString""}"
